PR,case,T_exh_C,eta_br_%,bottom,eta_bot_%,eta_comb_%,gain_pp,W_net_kW
2.0,Simple,756.2394367067685,11.275753189945908,Rankine Vapeur (Siemens),49.703592842241854,42.55160254502034,31.27584935507443,380.5902791280613
2.0,Recuperated,209.5427515998809,35.51053990247709,ORC Cyclopentane,28.875638898527917,44.831976321452935,9.321436418975843,138.3581251423294
2.0,Recuperated_RH_IC,191.32804080036124,36.18816250897145,ORC Cyclopentane,27.42994476995945,42.676713040407094,6.488550531435644,146.05154018179994
2.5,Simple,712.0350541331876,14.263293844543885,Rankine Vapeur (Siemens),48.97886108578916,43.21552139028928,28.952227545745394,374.5442464405512
2.5,Recuperated,226.35660849577567,38.17991533006455,ORC Cyclopentane,30.00227365925225,48.20445749214788,10.024542162083328,168.67065331072232
2.5,Recuperated_RH_IC,198.4805281754853,39.77818082738836,ORC Cyclopentane,28.048618767060894,46.02313778725502,6.244956959866654,182.47955824271375
3.0,Simple,677.5484579193891,16.465547313102473,Rankine Vapeur (Siemens),48.39314463475228,43.63884359339948,27.17329628029701,367.7396568310269
3.0,Recuperated,241.67773112133068,39.13573736228611,ORC Cyclopentane,30.71238905104205,49.82356299107323,10.68782562878713,190.00818872738128
3.0,Recuperated_RH_IC,204.7681241106214,41.69972036621791,ORC Cyclopentane,28.507423223687884,47.844161845237814,6.144441479019902,210.26618220478048
3.5,Simple,649.4983320956592,18.154923411613698,Rankine Vapeur (Siemens),47.90287597875923,43.90378588400751,25.748862472393814,360.62812294995615
3.5,Recuperated,255.76288915257282,39.30389793164566,ORC Toluène,31.4808708543539,50.71204705118466,11.408149119539,206.10321323505312
3.5,Recuperated_RH_IC,210.40021980189294,42.82476018667091,ORC Cyclopentane,28.93971905428268,48.949427775940826,6.124667589269922,232.46012150284602
4.0,Simple,625.9989737472488,19.486031022993007,Rankine Vapeur (Siemens),47.481002001973934,44.05680861443933,24.570777591446323,353.4249952138757
4.0,Recuperated,268.8150304547996,39.06261560970444,ORC Toluène,32.472324275849665,51.2915341076828,12.228918497978364,219.02551962877408
4.0,Recuperated_RH_IC,215.5161124327081,43.51338175821888,ORC Cyclopentane,29.308311765558393,49.65248992970407,6.139108171485192,250.69814036494904
4.5,Simple,605.8726612715814,20.554335104023934,Rankine Vapeur (Siemens),47.11095505757851,44.127222296557726,23.57288719253379,346.2454142721711
4.5,Recuperated,280.99243239566886,38.592195743199674,ORC Toluène,33.31632056604399,51.59837755640439,13.006181813204709,229.28587866517498
4.5,Recuperated_RH_IC,220.21351514138672,43.940345368860775,ORC Cyclopentane,29.624608261148488,50.11179781361663,6.171452444755854,266.0254454652674
5.0,Simple,588.3373640008468,21.42256637126018,Rankine Vapeur (Siemens),46.781992121632705,44.134614148424646,22.71204777716446,339.1530268685966
5.0,Recuperated,292.4195835067027,37.987914505266005,ORC Toluène,34.02901668610278,51.724479907806455,13.736565402540451,237.54023169403206
5.0,Recuperated_RH_IC,224.56387086260992,44.200209313856135,ORC Cyclopentane,29.89659787305098,50.41332825550063,6.2131189416445025,279.1315161735787
5.5,Simple,572.8490960928827,22.133918116169703,Rankine Vapeur (Siemens),46.48475942577278,44.09166009339854,21.957741977228835,332.1756880326119
5.5,Recuperated,303.19575203801594,37.303875612316325,Rankine Vapeur (Siemens),33.79587851500049,41.97716784947506,4.673292237158733,198.21047500949481
5.5,Recuperated_RH_IC,228.62112460243458,44.348282617168,ORC Cyclopentane,30.12997783606196,50.6075027363455,6.2592201191775,290.4926486957836
6.0,Simple,559.0149516145257,22.719301425028647,Rankine Vapeur (Siemens),46.213965084765604,44.00821922943101,21.288917804402367,325.3327973930517
6.0,Recuperated,313.4012216871329,36.57251720152306,Rankine Vapeur (Siemens),34.39394189013179,41.976308006684455,5.403790805161391,202.99241347585493
6.0,Recuperated_RH_IC,232.42702411743267,44.41893298807889,ORC Cyclopentane,30.328821301235802,50.72570767921071,6.306774691131811,300.45056794306805
6.5,Simple,546.542687086524,23.201490192927015,Rankine Vapeur (Siemens),45.96504801565707,43.89128132435216,20.689791131425142,318.6316733910903
6.5,Recuperated,323.10183289023735,35.81404551535425,Rankine Vapeur (Siemens),34.89524319567768,41.903322291337496,6.089276775983244,206.88985682349391
6.5,Recuperated_RH_IC,236.0147894149203,44.43444204963909,ORC Cyclopentane,30.496006621190404,50.788309064034706,6.35386701439562,309.2570572422343
7.0,Simple,535.2091940468165,23.597724816235395,Rankine Vapeur (Siemens),45.73371326835231,43.74580180282407,20.148076986588677,312.0719447203201
7.0,Recuperated,332.3522467170593,35.04145619329554,Rankine Vapeur (Siemens),35.31401843813452,41.77533355508455,6.733877361789014,210.05979176419237
7.0,Recuperated_RH_IC,239.4111420892831,44.40988125267559,ORC Cyclopentane,30.633471924270566,50.8090502522633,6.399168999587712,317.10283729138854
7.5,Simple,524.8406840982773,23.921317944470292,Rankine Vapeur (Siemens),45.51906921634492,43.57669909608953,19.655381151619235,305.6584550215049
7.5,Recuperated,341.1983659976311,34.26327623790944,Rankine Vapeur (Siemens),35.66065984322364,41.60410860645507,7.34083236854563,212.62067092716765
7.5,Recuperated_RH_IC,242.63793647546902,44.355742336572945,ORC Cyclopentane,30.742401888712795,50.79743963927994,6.441697302706995,324.1350305166077
8.0,Simple,515.2992842951629,24.182738082136478,Rankine Vapeur (Siemens),45.31804639010948,43.38679115910147,19.204053076964993,299.3853333124674
8.0,Recuperated,349.6791484168248,33.48518152646627,Rankine Vapeur (Siemens),35.94264453903474,41.39781943449001,7.912637908023745,214.66302912531683
8.0,Recuperated_RH_IC,245.71351104447967,44.27945487340059,ORC Cyclopentane,30.823368539811085,50.76013970957669,6.480684836176104,330.4685117519285
8.5,Simple,506.4739079851323,24.39035150169837,Rankine Vapeur (Siemens),45.12797193453575,43.178267853653004,18.78791635195464,293.24599356903934
8.5,Recuperated,357.8279264494839,32.71098661033659,Rankine Vapeur (Siemens),36.1651003304041,41.16211191430024,8.451125303963652,216.2564856933982
8.5,Recuperated_RH_IC,248.65304787030323,44.18649372623684,ORC Cyclopentane,30.876424220841418,50.70195703554494,6.5154633093081005,336.1949731325388
9.0,Simple,498.2737997653387,24.550935581379242,Rankine Vapeur (Siemens),44.948786830751644,42.95379018208105,18.40285460070181,287.2398690285244
9.0,Recuperated,365.6735006367486,31.94325628837532,Rankine Vapeur (Siemens),37.971974740487184,41.30530972227513,9.362053433899813,219.60528525266744
9.0,Recuperated_RH_IC,251.46968201644188,44.08085714770376,ORC Cyclopentane,30.893307599288228,50.62463235828017,6.543775210576403,341.376260111315
9.5,Simple,490.6239535152637,24.67004427672088,Rankine Vapeur (Siemens),44.7784347425118,42.714695172388595,18.044650895667715,281.35966723849117
9.5,Recuperated,373.240903555896,31.18370189950918,Rankine Vapeur (Siemens),38.847058992426994,41.23855623922109,10.05485433971191,221.64286895827973
9.5,Recuperated_RH_IC,254.17448321265942,43.96560355478296,ORC Toluène,31.35442400156424,50.63294946872225,6.6673459139392985,346.77198039916306
10.0,Simple,483.46172878518917,24.752275132618074,Rankine Vapeur (Siemens),44.61602768686308,42.46242903723347,17.710153904615396,275.6008037352145
10.0,Recuperated,380.55205459417016,30.43344167510234,Rankine Vapeur (Siemens),39.61251311198792,41.15200731945175,10.71856564434941,223.38970037172882
10.0,Recuperated_RH_IC,256.7771253060778,43.84303878961572,ORC Toluène,31.560966108843797,50.58089912613296,6.737860336517243,351.4337442649251
10.5,Simple,476.7342884268579,24.801471577072512,Rankine Vapeur (Siemens),44.46112280925055,42.198311612593045,17.39684003552053,269.95941470543244
10.5,Recuperated,387.626285978195,29.69317991911966,Rankine Vapeur (Siemens),40.30031669042744,41.052444592105566,11.359264672985903,224.90083844004346
10.5,Recuperated_RH_IC,259.28606988329216,43.714931718594194,ORC Toluène,31.756926453254703,50.52172193198966,6.806790213395464,355.7524144782955
11.0,Simple,470.39664832798326,24.82088260917734,Rankine Vapeur (Siemens),44.311562895674214,41.92275990471745,17.10187729554011,264.4272069626208
11.0,Recuperated,394.480698408345,28.963337089877484,Rankine Vapeur (Siemens),40.927925079052194,40.94363614689967,11.980299057022187,226.21315553066657
11.0,Recuperated_RH_IC,261.7085540146884,43.582709804486505,ORC Toluène,31.943167960359474,50.45685053327807,6.874140728791566,359.76548121844155
11.5,Simple,464.41022057453927,24.813271592486544,Rankine Vapeur (Siemens),44.168257801751395,41.637197290232805,16.823925697746265,259.00345660095894
11.5,Recuperated,401.1305273741325,28.24412717497138,Rankine Vapeur (Siemens),41.42584096561121,40.80356193678346,12.559434761812083,227.21819809061543
11.5,Recuperated_RH_IC,264.0511952086281,43.447440614282456,ORC Toluène,32.12046391968057,50.38738765109054,6.9399470368080864,363.50452471651056
12.0,Simple,458.7418303520741,24.780979011522945,Rankine Vapeur (Siemens),44.03016348732592,41.34211067371819,16.56113166219524,253.68244704095642
12.0,Recuperated,407.5894273295295,27.535596878463924,Rankine Vapeur (Siemens),37.60186097776992,39.31566414119639,11.78006726273247,220.54017095397353
12.0,Recuperated_RH_IC,266.31972442529957,43.30998585174096,ORC Toluène,32.289484205261225,50.314227684381365,7.0042418326404015,366.9967488214496
