PR,T_hot_C,hot_fluid,orc_size_MW,bc_type,orc_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_bot_%,W_bot_kW,eta_comb_%,W_comb_kW,gain_pp
3.0,600,Air,1.0,ORC_R245fa,Toluène,23.96392087297826,56.50035692568596,190.26683682240503,189.66846721841245,176.46096189862325,17.821752291963936,19.929427775371845,32.416738806162456,76.42978470105781,8.452817933184194
3.0,600,Air,2.0,ORC_R245fa,Toluène,23.96392087297826,56.50035692568596,190.26683682240503,189.66846721841245,176.46096189862325,19.510681137030925,21.640177526664257,33.14233195112896,78.14053445235022,9.178411078150702
3.0,600,Air,5.0,ORC_R245fa,Toluène,23.96392087297826,56.50035692568596,190.26683682240503,189.66846721841245,176.46096189862325,21.102935306949107,23.417705643911372,33.89624830615713,79.91806256959734,9.932327433178875
3.0,650,Air,1.0,ORC_R245fa,Toluène,26.82539272565276,68.05674558876112,196.49268920541493,195.87739330497186,182.8351643834078,18.297356109465746,21.180306680697967,35.17386780838309,89.23705226945908,8.348475082730333
3.0,650,Air,2.0,ORC_R245fa,Toluène,26.82539272565276,68.05674558876112,196.49268920541493,195.87739330497186,182.8351643834078,20.023120951001513,22.979500429222075,35.883041872998795,91.03624601798319,9.057649147346037
3.0,650,Air,5.0,ORC_R245fa,Toluène,26.82539272565276,68.05674558876112,196.49268920541493,195.87739330497186,182.8351643834078,21.65310566130532,24.848394164771037,36.61968903390701,92.90513975353215,9.794296308254246
3.0,700,Air,1.0,ORC_R245fa,Toluène,29.305459760524023,79.6295477075943,202.78357997549477,201.49294313313277,189.28272253148944,18.713330848735797,22.45326009959419,37.56876313576702,102.08280780718849,8.263303375242998
3.0,700,Air,2.0,ORC_R245fa,Toluène,29.305459760524023,79.6295477075943,202.78357997549477,201.49294313313277,189.28272253148944,20.471961884967797,24.345627084512543,38.26519663470274,103.97517479210684,8.95973687417872
3.0,700,Air,5.0,ORC_R245fa,Toluène,29.305459760524023,79.6295477075943,202.78357997549477,201.49294313313277,189.28272253148944,22.135656748553572,26.309539520814845,38.9879604646141,105.93908722840914,9.682500704090074
3.0,750,Air,1.0,ORC_R245fa,Toluène,31.472493818011245,91.21517654854426,209.13569198128982,207.80181157436084,195.80009114640904,19.1649719190201,23.765636431230465,39.67248721784796,114.98081297977473,8.199993399836714
3.0,750,Air,2.0,ORC_R245fa,Toluène,31.472493818011245,91.21517654854426,209.13569198128982,207.80181157436084,195.80009114640904,20.96000302334864,25.751597539485097,40.35771473225277,116.96677408802935,8.88522091424152
3.0,750,Air,5.0,ORC_R245fa,Toluène,31.472493818011245,91.21517654854426,209.13569198128982,207.80181157436084,195.80009114640904,22.661089369774494,27.81171072224392,41.068527360831894,119.02688727078818,9.596033542820653
3.0,800,Air,1.0,ORC_R245fa,Toluène,33.37969746430888,102.81064311680973,215.54507211826603,214.16755827988402,202.38358142111147,19.604209699353103,25.106689543965917,41.53112688738664,127.91733266077564,8.151429423077754
3.0,800,Air,2.0,ORC_R245fa,Toluène,33.37969746430888,102.81064311680973,215.54507211826603,214.16755827988402,202.38358142111147,21.435386436691065,27.18888752460102,42.207157466977776,129.99953064141076,8.827460002668897
3.0,800,Air,5.0,ORC_R245fa,Toluène,33.37969746430888,102.81064311680973,215.54507211826603,214.16755827988402,202.38358142111147,23.173668391448523,29.3476937324846,42.90806056337562,132.15833684929433,9.52836309906674
3.0,850,Air,1.0,ORC_R245fa,Toluène,35.06908305802551,114.41350688227354,222.0077587989432,220.58624863170297,209.0294855632351,20.030672251823624,26.475373248953606,43.1840957760181,140.88888013122715,8.115012717992581
3.0,850,Air,2.0,ORC_R245fa,Toluène,35.06908305802551,114.41350688227354,222.0077587989432,220.58624863170297,209.0294855632351,21.89767510046198,28.656577465110093,43.852660475303246,143.07008434738364,8.783577417277733
