PR,T_hot_C,hot_fluid,bc_type,orc_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_bot_%,W_bot_kW,eta_comb_%,W_comb_kW,gain_pp
3.0,600,Air,ORC_R245fa,R1233zd,29.975383850614456,83.67653659243888,145.26866511489374,144.80649124037438,33.98023533746955,17.189636118958536,5.841078806876779,32.067829193932376,89.51761539931566,2.092445343317922
3.0,650,Air,ORC_R245fa,R1233zd,32.15045104587324,96.10943561159092,152.49872062834544,152.01333355670448,41.33303430289001,17.696337184171604,7.314433118688728,34.59726932562136,103.42386873027965,2.4468182797481197
3.0,700,Air,ORC_R245fa,R1233zd,34.048769037640305,108.54958388988854,159.79696354887943,159.28858764963047,48.762602964697926,18.121905558196573,8.83671285698092,36.82058247383458,117.38629674686946,2.7718134361942703
3.0,750,Air,ORC_R245fa,R1233zd,35.71770353705618,120.99514628181856,167.15889421788597,166.627829408492,56.264873029585054,18.448325086568783,10.379926686043012,38.781852434772524,131.37507296786157,3.0641488977163456
3.0,800,Air,ORC_R245fa,R1233zd,37.194596294077535,133.44464905064712,174.57995888863888,174.02658724669726,63.835702944476445,18.648900497610455,11.904656724065601,40.51274283664247,145.34930577471272,3.3181465425649312
3.0,850,Air,ORC_R245fa,Cyclopentane,38.50927084225809,145.89693075448264,182.05566793364113,181.48046110415396,71.47100043883145,23.658724356832316,16.90912698889355,42.972408946357184,162.8060577433762,4.46313810409909
3.0,900,Air,ORC_R245fa,Cyclopentane,39.685819917569255,158.35109268218486,189.58166498209476,188.98519290058283,79.1668060311664,24.259352701177566,19.20535469735777,44.49905003213562,177.55644737954262,4.81323011456637
3.0,950,Air,ORC_R245fa,Cyclopentane,40.74390548565426,170.8064531214348,197.15378840086595,196.53672983203973,86.91934684877069,24.826509714146326,21.579040088882593,45.89133612299382,192.3854932103174,5.1474306373395615
3.0,1000,Air,ORC_R245fa,Cyclopentane,41.69972036621791,183.2625060665432,204.7681241106214,203.46397699602784,94.72506836675055,25.312407264333668,23.9771950864104,47.1555135436097,207.23970115295361,5.455793177391788
3.7567,600,Air,ORC_R245fa,R1233zd,29.929472790274307,93.77687994691445,155.20289248890685,154.7089330917205,44.084979337858094,17.864751749296666,7.875672117437077,32.443042387358254,101.65255206435153,2.5135695970839422
3.7567,650,Air,ORC_R245fa,R1233zd,32.378368389671714,108.55104551239504,162.23141296341765,161.71547607727928,51.24257027951843,18.24224242041454,9.347793892841047,35.166607902837626,117.89883940523609,2.7882395131659132
